Date,Month,Leads,Conversions
2025-02-01,February,11,9
2025-02-02,February,24,1
2025-02-03,February,19,3
2025-02-04,February,15,7
2025-02-05,February,12,4
2025-02-06,February,25,9
2025-02-07,February,11,3
2025-02-08,February,23,5
2025-02-09,February,27,3
2025-02-10,February,15,7
2025-02-11,February,15,5
2025-02-12,February,28,9
2025-02-13,February,25,7
2025-02-14,February,8,2
2025-02-15,February,12,4
2025-02-16,February,28,9
2025-02-17,February,7,2
2025-02-18,February,26,9
2025-02-19,February,25,5
2025-02-20,February,6,2
2025-02-21,February,28,4
2025-02-22,February,16,7
2025-02-23,February,10,8
2025-02-24,February,6,3
2025-02-25,February,25,1
2025-02-26,February,5,4
2025-02-27,February,16,2
2025-02-28,February,26,8
2025-03-01,March,8,1
2025-03-02,March,6,9
2025-03-03,March,10,7
2025-03-04,March,26,9
2025-03-05,March,14,8
2025-03-06,March,8,1
2025-03-07,March,26,8
2025-03-08,March,22,8
2025-03-09,March,16,3
2025-03-10,March,6,1
2025-03-11,March,14,8
2025-03-12,March,8,3
2025-03-13,March,18,3
2025-03-14,March,20,1
2025-03-15,March,19,5
2025-03-16,March,12,7
2025-03-17,March,18,9
2025-03-18,March,27,7
2025-03-19,March,29,9
2025-03-20,March,12,8
2025-03-21,March,25,2
2025-03-22,March,20,1
2025-03-23,March,17,7
2025-03-24,March,22,7
2025-03-25,March,19,8
2025-03-26,March,25,5
2025-03-27,March,28,3
2025-03-28,March,29,8
2025-03-29,March,17,6
2025-03-30,March,13,3
2025-03-31,March,19,1
2025-04-01,April,7,5
2025-04-02,April,9,7
2025-04-03,April,19,7
2025-04-04,April,18,9
2025-04-05,April,7,3
2025-04-06,April,5,7
